"NDB_No"|"FdGrp_Cd"|"Long_Desc"|"Shrt_Desc"|"ComName"|"ManufacName"
"20002"|"2000"|"Amaranth grain, cooked"|"AMARANTH GRAIN,CKD"||
"20003"|"2000"|"Arrowroot flour"|"ARROWROOT FLOUR"||
"20004"|"2000"|"Barley, hulled"|"BARLEY,HULLED"||
"20005"|"2000"|"Barley, pearled, raw"|"BARLEY,PEARLED,RAW"||
"20006"|"2000"|"Barley, pearled, cooked"|"BARLEY,PEARLED,COOKED"||
"20008"|"2000"|"Buckwheat"|"BUCKWHEAT"||
"20009"|"2000"|"Buckwheat groats, roasted, dry"|"BUCKWHEAT GROATS,RSTD,DRY"|"kasha"|
"20010"|"2000"|"Buckwheat groats, roasted, cooked"|"BUCKWHEAT GROATS,RSTD,CKD"|"kasha"|
"20011"|"2000"|"Buckwheat flour, whole-groat"|"BUCKWHEAT FLR,WHOLE-GROAT"||
"20012"|"2000"|"Bulgur, dry"|"BULGUR,DRY"||
"20013"|"2000"|"Bulgur, cooked"|"BULGUR,COOKED"||
"20014"|"2000"|"Corn, yellow"|"CORN,YELLOW"||
"20015"|"2000"|"Corn bran, crude"|"CORN BRAN,CRUDE"||
"20016"|"2000"|"Corn flour, whole-grain, yellow"|"CORN FLR,WHOLE-GRAIN,YEL"||
"20017"|"2000"|"Corn flour, masa, enriched, white"|"CORN FLR,MASA,ENR,WHITE"||
"20018"|"2000"|"Corn flour, degermed, unenriched, yellow"|"CORN FLR,DEGERMED,UNENR,YEL"||
"20020"|"2000"|"Cornmeal, whole-grain, yellow"|"CORNMEAL,WHOLE-GRAIN,YEL"||
"20022"|"2000"|"Cornmeal, degermed, enriched, yellow"|"CORNMEAL,DEGERMED,ENR,YEL"||
"20023"|"2000"|"Cornmeal, self-rising, bolted, plain, enriched, yellow"|"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,YEL"||
"20024"|"2000"|"Cornmeal, self-rising, bolted, with wheat flour added, enriched, yellow"|"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,YEL"||
"20025"|"2000"|"Cornmeal, self-rising, degermed, enriched, yellow"|"CORNMEAL,SELF-RISING,DEGERMED,ENR,YEL"||
"20027"|"2000"|"Cornstarch"|"CORNSTARCH"||
"20028"|"2000"|"Couscous, dry"|"COUSCOUS,DRY"||
"20029"|"2000"|"Couscous, cooked"|"COUSCOUS,COOKED"||
"20030"|"2000"|"Hominy, canned, white"|"HOMINY,CANNED,WHITE"||
"20031"|"2000"|"Millet, raw"|"MILLET,RAW"||
"20032"|"2000"|"Millet, cooked"|"MILLET,COOKED"||
"20033"|"2000"|"Oat bran, raw"|"OAT BRAN,RAW"||
"20034"|"2000"|"Oat bran, cooked"|"OAT BRAN,COOKED"||
"20035"|"2000"|"Quinoa, uncooked"|"QUINOA,UNCKD"||
"20036"|"2000"|"Rice, brown, long-grain, raw"|"RICE,BROWN,LONG-GRAIN,RAW"||
"20037"|"2000"|"Rice, brown, long-grain, cooked"|"RICE,BROWN,LONG-GRAIN,CKD"||
"20038"|"2000"|"Oats"|"OATS"||
"20040"|"2000"|"Rice, brown, medium-grain, raw"|"RICE,BROWN,MEDIUM-GRAIN,RAW"||
"20041"|"2000"|"Rice, brown, medium-grain, cooked"|"RICE,BROWN,MEDIUM-GRAIN,CKD"||
"20044"|"2000"|"Rice, white, long-grain, regular, raw, enriched"|"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR"||
"20045"|"2000"|"Rice, white, long-grain, regular, cooked"|"RICE,WHITE,LONG-GRAIN,REG,CKD"||
